target,nontarget,order
male_neutral_027,indoor_015,1
male_neutral_026,outdoor_035,1
female_neutral_043,indoor_040,1
male_neutral_029,outdoor_008,1
male_neutral_028,indoor_020,1
female_neutral_036,indoor_037,1
male_neutral_017,outdoor_030,1
male_neutral_016,indoor_014,1
male_neutral_031,outdoor_003,1
male_neutral_025,indoor_017,1
male_neutral_037,outdoor_025,1
male_neutral_001,indoor_031,1
male_neutral_018,outdoor_021,1
male_neutral_036,outdoor_006,1
male_neutral_039,indoor_043,1
male_neutral_042,indoor_041,1
female_neutral_032,outdoor_044,1
male_neutral_011,indoor_010,1
male_neutral_033,outdoor_017,1
male_neutral_015,indoor_045,1
male_neutral_019,outdoor_016,1
male_neutral_022,indoor_023,1
male_neutral_020,indoor_004,1
male_neutral_007,outdoor_022,1
male_neutral_044,indoor_013,1
male_neutral_002,indoor_024,1
male_neutral_024,outdoor_043,1
male_neutral_038,outdoor_040,1
male_neutral_043,outdoor_045,1
male_neutral_014,indoor_044,1
male_neutral_006,indoor_027,1
male_neutral_013,outdoor_041,1
male_neutral_010,outdoor_026,1
male_neutral_041,indoor_026,1
male_neutral_045,outdoor_005,1
male_neutral_004,indoor_038,1
male_neutral_012,outdoor_036,1
male_neutral_008,outdoor_042,1
female_neutral_021,outdoor_019,1
male_neutral_021,indoor_011,1
male_neutral_034,indoor_029,1
male_neutral_035,indoor_030,1
male_neutral_005,outdoor_029,1
male_neutral_009,indoor_012,1
male_neutral_032,outdoor_037,1
male_neutral_023,outdoor_034,1
male_neutral_003,indoor_021,1
male_neutral_040,indoor_018,1
female_neutral_010,outdoor_032,1
male_neutral_030,outdoor_004,1
