target,nontarget,order
outdoor_043,male_neutral_004,7
outdoor_031,male_neutral_034,7
outdoor_037,female_neutral_009,7
outdoor_015,male_neutral_032,7
outdoor_003,female_neutral_044,7
outdoor_012,female_neutral_023,7
outdoor_007,male_neutral_009,7
indoor_043,female_neutral_006,7
outdoor_028,male_neutral_020,7
outdoor_038,female_neutral_041,7
outdoor_019,female_neutral_007,7
indoor_039,female_neutral_017,7
outdoor_032,male_neutral_044,7
indoor_020,male_neutral_033,7
outdoor_018,female_neutral_014,7
outdoor_010,female_neutral_042,7
outdoor_041,female_neutral_038,7
outdoor_023,male_neutral_040,7
outdoor_034,female_neutral_036,7
outdoor_008,male_neutral_001,7
outdoor_020,female_neutral_045,7
outdoor_005,female_neutral_020,7
outdoor_006,female_neutral_012,7
outdoor_001,male_neutral_045,7
outdoor_029,female_neutral_034,7
outdoor_036,male_neutral_026,7
outdoor_017,female_neutral_016,7
outdoor_045,female_neutral_030,7
outdoor_025,male_neutral_012,7
outdoor_044,female_neutral_037,7
outdoor_042,female_neutral_043,7
outdoor_016,male_neutral_025,7
outdoor_004,male_neutral_041,7
outdoor_009,female_neutral_029,7
outdoor_002,male_neutral_039,7
outdoor_011,male_neutral_037,7
outdoor_030,male_neutral_002,7
outdoor_027,male_neutral_018,7
outdoor_024,female_neutral_039,7
indoor_040,female_neutral_019,7
outdoor_033,male_neutral_006,7
indoor_041,male_neutral_024,7
outdoor_014,male_neutral_031,7
outdoor_022,female_neutral_035,7
outdoor_013,male_neutral_030,7
outdoor_035,female_neutral_008,7
outdoor_021,male_neutral_019,7
outdoor_039,female_neutral_013,7
outdoor_026,male_neutral_029,7
outdoor_040,male_neutral_027,7
