target,nontarget,order
male_neutral_035,outdoor_041,2
male_neutral_023,outdoor_006,2
male_neutral_042,indoor_035,2
male_neutral_031,indoor_024,2
male_neutral_041,outdoor_004,2
male_neutral_028,indoor_030,2
male_neutral_013,indoor_033,2
male_neutral_005,indoor_045,2
male_neutral_038,outdoor_033,2
male_neutral_018,indoor_023,2
male_neutral_014,indoor_001,2
male_neutral_026,outdoor_015,2
male_neutral_021,outdoor_037,2
male_neutral_016,outdoor_017,2
female_neutral_022,outdoor_010,2
male_neutral_011,indoor_029,2
female_neutral_012,outdoor_012,2
male_neutral_004,outdoor_021,2
male_neutral_036,indoor_015,2
male_neutral_044,indoor_039,2
male_neutral_008,outdoor_039,2
male_neutral_024,indoor_025,2
female_neutral_009,indoor_006,2
male_neutral_039,outdoor_038,2
male_neutral_022,indoor_019,2
male_neutral_033,indoor_022,2
male_neutral_034,outdoor_013,2
male_neutral_032,outdoor_036,2
male_neutral_030,outdoor_026,2
male_neutral_007,outdoor_020,2
male_neutral_001,outdoor_008,2
male_neutral_017,indoor_017,2
male_neutral_040,outdoor_024,2
male_neutral_015,indoor_010,2
male_neutral_009,indoor_002,2
male_neutral_019,outdoor_044,2
male_neutral_025,indoor_044,2
male_neutral_037,outdoor_043,2
male_neutral_020,indoor_012,2
male_neutral_029,indoor_031,2
male_neutral_010,indoor_016,2
male_neutral_043,outdoor_035,2
male_neutral_003,indoor_008,2
male_neutral_045,outdoor_032,2
male_neutral_006,indoor_037,2
female_neutral_030,indoor_004,2
male_neutral_002,outdoor_030,2
male_neutral_012,outdoor_025,2
female_neutral_036,indoor_036,2
male_neutral_027,outdoor_027,2
