target,nontarget,order
outdoor_040,female_sad_009,4
outdoor_025,female_sad_024,4
outdoor_002,female_sad_010,4
outdoor_022,male_sad_024,4
outdoor_009,male_sad_018,4
indoor_022,male_sad_041,4
outdoor_014,female_sad_020,4
outdoor_020,female_sad_045,4
outdoor_036,female_sad_021,4
outdoor_017,female_sad_042,4
outdoor_028,female_sad_037,4
outdoor_033,male_sad_003,4
outdoor_005,female_sad_035,4
outdoor_003,male_sad_022,4
outdoor_044,male_sad_011,4
outdoor_010,female_sad_012,4
outdoor_026,male_sad_002,4
outdoor_029,female_sad_043,4
outdoor_024,male_sad_005,4
outdoor_043,male_sad_004,4
outdoor_011,female_sad_028,4
outdoor_037,female_sad_003,4
outdoor_032,male_sad_033,4
outdoor_038,female_sad_014,4
indoor_032,female_sad_022,4
outdoor_016,female_sad_040,4
outdoor_023,female_sad_033,4
outdoor_012,male_sad_014,4
outdoor_018,male_sad_006,4
outdoor_021,female_sad_004,4
outdoor_007,female_sad_027,4
outdoor_006,male_sad_013,4
indoor_040,male_sad_009,4
indoor_038,female_sad_025,4
outdoor_035,male_sad_016,4
outdoor_008,male_sad_037,4
outdoor_031,male_sad_007,4
outdoor_030,male_sad_044,4
indoor_037,male_sad_039,4
outdoor_041,male_sad_020,4
outdoor_042,male_sad_031,4
outdoor_001,male_sad_034,4
outdoor_019,male_sad_010,4
outdoor_039,male_sad_001,4
outdoor_034,female_sad_007,4
outdoor_045,female_sad_006,4
outdoor_027,female_sad_039,4
outdoor_015,male_sad_042,4
outdoor_013,female_sad_019,4
outdoor_004,female_sad_026,4
