target,nontarget,order
indoor_011,female_neutral_021,6
outdoor_026,female_neutral_028,6
outdoor_037,female_neutral_002,6
outdoor_040,male_neutral_012,6
outdoor_038,male_neutral_039,6
outdoor_002,male_neutral_017,6
outdoor_031,male_neutral_036,6
outdoor_023,female_neutral_022,6
outdoor_033,female_neutral_020,6
outdoor_034,female_neutral_023,6
outdoor_021,female_neutral_037,6
outdoor_039,male_neutral_045,6
outdoor_022,male_neutral_006,6
outdoor_036,female_neutral_035,6
outdoor_001,female_neutral_010,6
outdoor_020,male_neutral_037,6
outdoor_035,male_neutral_010,6
outdoor_016,female_neutral_040,6
indoor_019,female_neutral_041,6
outdoor_010,male_neutral_011,6
outdoor_004,male_neutral_020,6
outdoor_019,male_neutral_031,6
outdoor_013,female_neutral_034,6
outdoor_007,female_neutral_004,6
outdoor_014,female_neutral_003,6
outdoor_009,male_neutral_033,6
outdoor_042,female_neutral_016,6
outdoor_005,male_neutral_007,6
indoor_012,female_neutral_009,6
outdoor_018,male_neutral_018,6
outdoor_041,male_neutral_004,6
indoor_016,male_neutral_043,6
outdoor_008,male_neutral_040,6
outdoor_027,female_neutral_008,6
outdoor_025,female_neutral_007,6
outdoor_045,male_neutral_034,6
outdoor_028,female_neutral_038,6
outdoor_015,male_neutral_024,6
outdoor_043,male_neutral_021,6
outdoor_017,female_neutral_024,6
indoor_004,male_neutral_015,6
outdoor_024,female_neutral_039,6
outdoor_044,male_neutral_032,6
outdoor_006,female_neutral_017,6
outdoor_030,male_neutral_026,6
outdoor_029,male_neutral_014,6
outdoor_032,male_neutral_042,6
outdoor_012,female_neutral_014,6
outdoor_003,female_neutral_001,6
outdoor_011,female_neutral_011,6
