target,nontarget
male_neutral_028,indoor_040
male_neutral_015,outdoor_031
male_neutral_042,indoor_001
male_neutral_033,indoor_025
male_neutral_031,indoor_030
male_neutral_013,indoor_022
male_neutral_039,indoor_017
female_neutral_026,outdoor_028
male_neutral_004,indoor_004
male_neutral_027,indoor_036
male_neutral_007,indoor_012
male_neutral_034,outdoor_003
male_neutral_005,indoor_039
male_neutral_011,outdoor_006
male_neutral_006,outdoor_007
male_neutral_032,outdoor_002
male_neutral_044,outdoor_010
male_neutral_038,indoor_003
male_neutral_025,outdoor_004
male_neutral_035,indoor_024
female_neutral_041,outdoor_019
male_neutral_030,outdoor_009
female_neutral_002,outdoor_034
male_neutral_009,indoor_016
male_neutral_018,outdoor_023
male_neutral_041,outdoor_030
male_neutral_023,indoor_010
male_neutral_016,outdoor_032
female_neutral_011,outdoor_008
male_neutral_040,indoor_021
male_neutral_003,indoor_034
male_neutral_010,outdoor_038
male_neutral_021,outdoor_043
male_neutral_029,outdoor_018
male_neutral_014,indoor_037
male_neutral_001,indoor_033
male_neutral_012,indoor_042
male_neutral_022,indoor_023
male_neutral_008,outdoor_001
male_neutral_045,outdoor_012
male_neutral_019,outdoor_014
male_neutral_043,outdoor_045
male_neutral_036,indoor_028
female_neutral_045,indoor_026
male_neutral_020,indoor_013
male_neutral_002,outdoor_017
male_neutral_017,outdoor_011
male_neutral_037,indoor_041
male_neutral_026,indoor_035
male_neutral_024,outdoor_039
