target,nontarget
male_neutral_031,indoor_008
male_neutral_004,outdoor_027
male_neutral_012,outdoor_019
male_neutral_040,indoor_001
male_neutral_043,outdoor_013
male_neutral_007,indoor_023
male_neutral_011,indoor_004
male_neutral_041,outdoor_005
male_neutral_037,indoor_029
male_neutral_028,outdoor_042
male_neutral_035,indoor_039
male_neutral_026,indoor_022
male_neutral_022,outdoor_024
male_neutral_005,indoor_010
male_neutral_029,indoor_026
female_neutral_008,outdoor_010
male_neutral_042,outdoor_033
male_neutral_033,outdoor_012
male_neutral_010,indoor_045
male_neutral_015,outdoor_036
male_neutral_019,indoor_033
male_neutral_038,outdoor_023
male_neutral_032,outdoor_029
male_neutral_006,indoor_040
female_neutral_013,outdoor_022
male_neutral_044,outdoor_031
male_neutral_025,indoor_006
female_neutral_011,outdoor_035
male_neutral_018,indoor_034
male_neutral_039,indoor_035
male_neutral_014,outdoor_017
male_neutral_027,indoor_043
male_neutral_045,outdoor_038
male_neutral_003,outdoor_041
male_neutral_030,outdoor_009
female_neutral_031,outdoor_028
male_neutral_036,outdoor_003
male_neutral_021,outdoor_025
male_neutral_034,outdoor_007
male_neutral_020,outdoor_008
male_neutral_016,indoor_027
female_neutral_015,indoor_036
male_neutral_024,indoor_025
male_neutral_002,indoor_012
male_neutral_017,indoor_032
male_neutral_009,indoor_002
male_neutral_013,indoor_024
male_neutral_001,outdoor_002
male_neutral_023,indoor_017
male_neutral_008,indoor_013
