target,nontarget,order
outdoor_018,female_neutral_033,5
outdoor_038,female_neutral_010,5
outdoor_004,male_neutral_003,5
indoor_018,male_neutral_020,5
outdoor_016,female_neutral_008,5
outdoor_037,male_neutral_012,5
indoor_042,female_neutral_017,5
outdoor_044,male_neutral_013,5
outdoor_041,male_neutral_011,5
outdoor_042,female_neutral_012,5
outdoor_017,male_neutral_024,5
indoor_025,female_neutral_015,5
outdoor_006,female_neutral_002,5
outdoor_020,female_neutral_014,5
outdoor_009,female_neutral_020,5
outdoor_033,male_neutral_041,5
outdoor_031,male_neutral_010,5
outdoor_012,male_neutral_027,5
outdoor_022,male_neutral_040,5
outdoor_001,male_neutral_029,5
outdoor_032,male_neutral_019,5
outdoor_029,female_neutral_040,5
outdoor_035,female_neutral_011,5
indoor_041,male_neutral_016,5
outdoor_019,female_neutral_025,5
outdoor_028,male_neutral_009,5
outdoor_030,female_neutral_029,5
outdoor_045,male_neutral_002,5
outdoor_039,female_neutral_004,5
outdoor_005,female_neutral_042,5
outdoor_024,female_neutral_021,5
outdoor_043,male_neutral_015,5
outdoor_023,female_neutral_007,5
indoor_020,male_neutral_021,5
outdoor_007,female_neutral_039,5
outdoor_010,male_neutral_031,5
outdoor_027,female_neutral_016,5
outdoor_014,male_neutral_026,5
outdoor_025,female_neutral_006,5
outdoor_021,male_neutral_018,5
outdoor_026,female_neutral_005,5
outdoor_008,female_neutral_023,5
outdoor_003,male_neutral_036,5
outdoor_034,female_neutral_034,5
outdoor_015,male_neutral_030,5
outdoor_013,female_neutral_019,5
outdoor_002,female_neutral_030,5
outdoor_011,male_neutral_035,5
outdoor_036,male_neutral_025,5
outdoor_040,male_neutral_004,5
