target,nontarget,order
male_sad_023,outdoor_002,1
male_sad_031,indoor_034,1
male_sad_024,outdoor_021,1
male_sad_017,outdoor_045,1
female_sad_042,outdoor_014,1
male_sad_015,outdoor_034,1
male_sad_022,indoor_022,1
male_sad_026,indoor_042,1
female_sad_030,outdoor_013,1
male_sad_021,indoor_008,1
male_sad_005,indoor_016,1
male_sad_035,indoor_010,1
male_sad_041,indoor_004,1
male_sad_012,outdoor_004,1
male_sad_011,indoor_031,1
male_sad_014,outdoor_038,1
male_sad_038,indoor_005,1
male_sad_019,outdoor_026,1
male_sad_003,outdoor_019,1
male_sad_001,outdoor_008,1
female_sad_024,indoor_028,1
male_sad_034,indoor_002,1
male_sad_029,indoor_041,1
male_sad_032,indoor_013,1
male_sad_004,outdoor_003,1
male_sad_040,outdoor_041,1
male_sad_010,outdoor_012,1
male_sad_016,indoor_018,1
male_sad_036,indoor_045,1
male_sad_043,indoor_021,1
male_sad_039,outdoor_043,1
male_sad_028,outdoor_025,1
female_sad_022,outdoor_018,1
male_sad_045,outdoor_001,1
male_sad_044,outdoor_005,1
male_sad_027,outdoor_028,1
male_sad_018,indoor_032,1
male_sad_030,indoor_040,1
male_sad_020,outdoor_037,1
male_sad_002,indoor_009,1
male_sad_008,indoor_020,1
male_sad_006,outdoor_031,1
male_sad_007,indoor_019,1
female_sad_029,indoor_024,1
male_sad_009,outdoor_009,1
male_sad_042,outdoor_016,1
male_sad_037,indoor_006,1
male_sad_013,outdoor_024,1
male_sad_033,indoor_011,1
male_sad_025,indoor_033,1
