target,nontarget
outdoor_018,male_neutral_022
outdoor_036,female_neutral_002
outdoor_033,male_neutral_013
outdoor_020,male_neutral_002
outdoor_012,female_neutral_021
indoor_019,female_neutral_003
outdoor_037,male_neutral_034
outdoor_026,female_neutral_043
outdoor_029,male_neutral_027
outdoor_006,male_neutral_016
outdoor_028,male_neutral_024
outdoor_032,male_neutral_005
outdoor_007,female_neutral_019
outdoor_045,female_neutral_036
outdoor_009,male_neutral_040
outdoor_030,female_neutral_004
outdoor_041,male_neutral_044
outdoor_039,male_neutral_008
outdoor_031,female_neutral_044
outdoor_023,female_neutral_008
outdoor_027,female_neutral_016
outdoor_003,male_neutral_032
indoor_033,female_neutral_018
indoor_025,male_neutral_004
outdoor_034,female_neutral_026
outdoor_001,male_neutral_018
outdoor_017,female_neutral_028
outdoor_044,female_neutral_035
outdoor_016,male_neutral_042
outdoor_005,male_neutral_038
outdoor_038,female_neutral_027
outdoor_024,female_neutral_012
outdoor_025,female_neutral_014
indoor_036,male_neutral_025
outdoor_043,female_neutral_015
outdoor_008,female_neutral_030
outdoor_002,male_neutral_045
indoor_038,male_neutral_019
outdoor_011,male_neutral_028
outdoor_035,female_neutral_029
outdoor_015,female_neutral_033
outdoor_042,male_neutral_029
outdoor_040,female_neutral_025
outdoor_010,male_neutral_001
outdoor_022,male_neutral_011
outdoor_021,female_neutral_039
outdoor_014,female_neutral_032
outdoor_013,male_neutral_031
outdoor_004,female_neutral_037
outdoor_019,male_neutral_017
