target,nontarget
male_neutral_003,outdoor_017
male_neutral_025,indoor_037
male_neutral_039,indoor_029
male_neutral_024,outdoor_010
male_neutral_011,outdoor_012
male_neutral_007,indoor_022
male_neutral_040,outdoor_029
male_neutral_030,outdoor_011
male_neutral_029,outdoor_034
male_neutral_020,indoor_024
male_neutral_036,outdoor_032
male_neutral_021,indoor_036
male_neutral_001,outdoor_007
male_neutral_026,outdoor_021
male_neutral_010,indoor_013
male_neutral_006,indoor_010
male_neutral_012,indoor_006
male_neutral_009,outdoor_013
male_neutral_032,outdoor_014
male_neutral_042,indoor_002
male_neutral_035,indoor_028
female_neutral_031,indoor_025
male_neutral_038,outdoor_039
male_neutral_018,outdoor_023
male_neutral_002,outdoor_002
male_neutral_031,indoor_032
male_neutral_043,outdoor_016
male_neutral_017,outdoor_027
male_neutral_045,indoor_009
male_neutral_004,outdoor_042
male_neutral_044,indoor_008
female_neutral_022,indoor_044
male_neutral_033,outdoor_045
male_neutral_019,indoor_016
male_neutral_028,outdoor_022
female_neutral_010,outdoor_035
male_neutral_037,indoor_031
male_neutral_015,indoor_042
female_neutral_015,indoor_026
female_neutral_012,indoor_043
male_neutral_014,outdoor_025
male_neutral_016,indoor_030
male_neutral_013,outdoor_036
male_neutral_023,outdoor_028
male_neutral_041,indoor_039
male_neutral_008,outdoor_030
male_neutral_022,outdoor_008
male_neutral_034,indoor_014
male_neutral_027,indoor_011
male_neutral_005,indoor_034
